AGENCY,MI,ETHNICITY,GENDER,RATE,HRSWKD,MONTHLY,ANNUAL
529,F,BLACK,MALE,0.0,40.0,3535.53,42426.36
102,D,HISPANIC,FEMALE,0.0,40.0,7500.0,90000.0
696,J,WHITE,MALE,0.0,40.0,4778.2,57338.4
529, ,HISPANIC,MALE,0.0,40.0,5800.46,69605.52
305,G,BLACK,FEMALE,0.0,40.0,10027.51,120330.12
530, ,WHITE,FEMALE,0.0,40.0,4796.73,57560.76
696, ,HISPANIC,MALE,0.0,40.0,4992.0,59904.0
529,C,WHITE,FEMALE,0.0,40.0,4832.08,57984.96
696,R,WHITE,MALE,0.0,40.0,4992.0,59904.0
529,A,HISPANIC,MALE,0.0,40.0,4898.61,58783.32
302,V,HISPANIC,FEMALE,0.0,40.0,4874.0,58488.0
529, ,BLACK,FEMALE,0.0,40.0,1785.0,21420.0
601,F,WHITE,MALE,0.0,40.0,7743.56,92922.72
530,N,HISPANIC,MALE,0.0,40.0,5232.7,62792.4
601,G,WHITE,MALE,0.0,40.0,7296.71,87560.52
696, ,WHITE,MALE,0.0,40.0,4778.2,57338.4
529, ,HISPANIC,FEMALE,0.0,40.0,5249.45,62993.4
405,M,HISPANIC,FEMALE,0.0,40.0,5463.4,65560.8
696,D,BLACK,MALE,0.0,40.0,4778.2,57338.4
529,E,WHITE,MALE,0.0,40.0,6194.89,74338.68
696,R,WHITE,FEMALE,0.0,40.0,5216.73,62600.76
529, ,HISPANIC,MALE,0.0,40.0,4195.1,50341.2
241,W,WHITE,MALE,0.0,40.0,14000.0,168000.0
466,C,WHITE,MALE,0.0,40.0,7977.27,95727.24
530,L,BLACK,FEMALE,0.0,40.0,5740.98,68891.76
601,E,HISPANIC,MALE,0.0,40.0,8610.52,103326.24
696,B,BLACK,FEMALE,0.0,40.0,3248.0,38976.0
529,M,HISPANIC,FEMALE,0.0,40.0,5094.16,61129.92
601, ,WHITE,MALE,0.0,40.0,6458.24,77498.88
529,G,WHITE,FEMALE,0.0,40.0,7399.7,88796.4
529, ,BLACK,MALE,0.0,40.0,3946.25,47355.0
529,R,BLACK,FEMALE,0.0,40.0,4149.83,49797.96
601,L,WHITE,MALE,0.0,40.0,5295.15,63541.8
305,M,OTHER,MALE,0.0,40.0,14000.0,168000.0
530,M,OTHER,FEMALE,0.0,40.0,5226.37,62716.44
696,D,BLACK,FEMALE,0.0,40.0,5462.7,65552.4
529,G,HISPANIC,MALE,0.0,40.0,2999.9,35998.8
696,C,WHITE,MALE,0.0,40.0,4778.2,57338.4
696,F,WHITE,MALE,0.0,40.0,4778.2,57338.4
529,C,BLACK,MALE,0.0,40.0,4594.5,55134.0
302, ,HISPANIC,MALE,0.0,40.0,11189.0,134268.0
696,M,WHITE,FEMALE,0.0,40.0,5256.74,63080.88
454,W,WHITE,FEMALE,0.0,40.0,15579.79,186957.48
320, ,HISPANIC,MALE,0.0,40.0,6957.02,83484.24
405, ,HISPANIC,MALE,0.0,40.0,8173.75,98085.0
696,A,AM INDIAN,FEMALE,0.0,40.0,3975.13,47701.56
529,A,HISPANIC,FEMALE,0.0,40.0,8304.85,99658.2
313,Y,HISPANIC,FEMALE,0.0,40.0,8491.67,101900.04
529,J,BLACK,FEMALE,0.0,40.0,5372.4,64468.8
582, ,WHITE,FEMALE,0.0,20.0,5458.54,65502.48
608, ,HISPANIC,FEMALE,0.0,40.0,4309.11,51709.32
529, ,ASIAN,FEMALE,0.0,40.0,7547.71,90572.52
696,W,WHITE,MALE,0.0,40.0,4778.2,57338.4
551, ,HISPANIC,MALE,0.0,40.0,5843.25,70119.0
601,C,WHITE,MALE,0.0,40.0,4800.0,57600.0
332, ,HISPANIC,MALE,0.0,40.0,10693.91,128326.92
529,K,WHITE,FEMALE,0.0,40.0,4422.81,53073.72
696,L,WHITE,MALE,0.0,40.0,4778.2,57338.4
302,G,WHITE,FEMALE,0.0,40.0,18889.5,226674.0
601,P,WHITE,MALE,0.0,40.0,6325.71,75908.52
601,D,BLACK,MALE,0.0,40.0,7594.12,91129.44
529, ,HISPANIC,FEMALE,0.0,40.0,3629.58,43554.96
582,W,WHITE,MALE,0.0,40.0,6719.55,80634.6
241,B,WHITE,MALE,0.0,40.0,14000.0,168000.0
802,W,WHITE,MALE,0.0,40.0,3950.0,47400.0
696, ,HISPANIC,MALE,0.0,40.0,4778.2,57338.4
601,D,WHITE,FEMALE,0.0,40.0,7035.0,84420.0
405,R,WHITE,MALE,0.0,40.0,8334.75,100017.0
696,R,WHITE,MALE,0.0,40.0,4778.2,57338.4
529,L,WHITE,FEMALE,0.0,40.0,5921.21,71054.52
601,L,WHITE,MALE,0.0,40.0,5670.0,68040.0
608,L,WHITE,FEMALE,0.0,40.0,4450.0,53400.0
305,J,WHITE,MALE,0.0,40.0,8034.55,96414.6
529,E,BLACK,MALE,0.0,40.0,4594.5,55134.0
529,E,WHITE,MALE,0.0,40.0,7209.51,86514.12
529,S,BLACK,FEMALE,0.0,40.0,7173.95,86087.4
696,B,HISPANIC,MALE,0.0,40.0,4882.44,58589.28
551,O,WHITE,FEMALE,0.0,40.0,5103.62,61243.44
551,F,HISPANIC,FEMALE,0.0,40.0,8406.03,100872.36
530,J,BLACK,FEMALE,0.0,40.0,2966.66,35599.92
452, ,WHITE,FEMALE,0.0,40.0,5425.0,65100.0
405, ,HISPANIC,FEMALE,0.0,40.0,4875.62,58507.44
201,M,WHITE,FEMALE,0.0,40.0,11392.48,136709.76
696,B,WHITE,MALE,0.0,40.0,4673.85,56086.2
582,E,WHITE,FEMALE,0.0,30.0,8458.76,101505.12
696,M,WHITE,FEMALE,0.0,40.0,4778.2,57338.4
503, ,WHITE,MALE,0.0,40.0,8933.06,107196.72
601, ,HISPANIC,MALE,0.0,40.0,5100.0,61200.0
696,R,HISPANIC,MALE,0.0,40.0,4778.2,57338.4
601,T,WHITE,MALE,0.0,40.0,6750.13,81001.56
320, ,HISPANIC,FEMALE,0.0,40.0,6430.45,77165.4
405,A,BLACK,FEMALE,0.0,40.0,2860.04,34320.48
320, ,HISPANIC,MALE,0.0,40.0,3583.07,42996.84
320, ,HISPANIC,FEMALE,0.0,40.0,9173.95,110087.4
601,M,WHITE,MALE,0.0,40.0,13371.85,160462.2
529,A,BLACK,FEMALE,0.0,40.0,9267.38,111208.56
241,L,WHITE,FEMALE,75.9615,29.0,9545.82,114549.84
696,L,BLACK,FEMALE,0.0,40.0,4778.2,57338.4
696,J,WHITE,FEMALE,0.0,40.0,4778.2,57338.4
644,R,BLACK,MALE,0.0,40.0,4836.45,58037.4
302,T,BLACK,FEMALE,0.0,40.0,5319.3,63831.6
103,F,WHITE,MALE,0.0,40.0,6152.43,73829.16
601,G,WHITE,MALE,0.0,40.0,8886.15,106633.8
